transcript_hebrew,intent
 היי סירי את יכולה למצוא לי מסלול מהמיקום שלי להרצל 45 באר שבע ברגל,transport_query
 היי סירי את יכולה לחייג לקורל יגוד,call_contact
 היי סירי את יכולה לכוון שעון מעורר לשמונה וחצי בערב,alarm_set
 היי סירי את יכולה לשלוח הודעה לקורל יגוד,send_message
 היי סירי את יכולה לחפש לי מתכון לעוגה באסקית,query
היי סירי אני צריכה מתכון לעוגה בסקית,query
אני צריכה מתכון לעוגת גבינה באסקית,query
לא את יכולה לחפש לי מתכון לעוגת גבינה באסקית,query
לא אני צריכה מתכון לעוגת גבינה באסקית,query
לא תיכנסי לאינטרנט ותחפשי לי מתכון לעוגת גבינה בסקית,query
 היי סירי את יכולה להוסיף לי פגישה ביומן בחמישי לחמישי בשעה חמש וחצי תור לרופא,calendar_set
סירי תרשמי לי בלוח שנה פגישה בחמישי לחמישי בשעה חמש וחצי תור לרופא,calendar_set
תרשמי ביומן בלוח שנה בחמישי לחמישי עשרים וחמש תור לרופא בשעה חמש וחצי,calendar_set
סירי תרשמי לי פגישה ביומן בחמישי לחמישי עשרים וחמש בשעה חמש וחצי תור לרופא,calendar_set
 היי סירי את יכולה לרשום לי ביומן פגישה בחמישי למאי 25 בשעה חמש וחצי  תור לרופא,calendar_set
היי סירי את יכולה ליצור לי פגישה בחמישי למאי 25 בשעה חמש וחצי,calendar_set
 שימי לי תזכורת לעוד שעתיים עם התווית לקחת תרופה,alarm_set
 היי את יכולה להפעיל לי את השיר שושנה של אברהם טל,play_music
לא שימי לי את השיר שושנה של אברהם טל,play_music
את השיר שושנה של אברהם טל,play_music
לא את השיר שבוע טוב את השיר שושנה,play_music
תפעילי את השיר הראשון,play_music
 היי סירי את יכולה להפעיל לי את השיר אלפ של הביטלס,play_music
 אני רוצה לעשות סלפי,camera_query
תפתחי לי את המצלמה עם מצלמה קדמית,camera_query
תהפכי את המצלמה למצלמה קדמית,camera_query
תסובבי לי את המצלמה,camera_query
תפתחי את המצלמה עם מצלמה קדמית,camera_query
תפתחי את המצלמה הקדמית,camera_query
 היי סירי כמה שווה יורו אחד בשקל,qa_currency
 מה הערך של יורו אחד בשקל,qa_currency
 מה השער של יורו לעומת שקלים,qa_currency
  היי סירי ירד מחר גשם בירושלים,weather_query
 היי סירי כמה מטרים זה שבע אינץ,convert
 היי סירי מה השעה עכשיו בבוגותה,datetime_query
 מה השעה עכשיו בבוגותה,datetime_query
 תפתחי לי את השעה בוגותה,datetime_query
 מה השעה כרגע בבוגותה,datetime_query
 מה השעה מדויקת כרגע בבוגותה,datetime_query
 מה השעה עכשיו בבוגותה,datetime_query
 תפתחי לי את השעון ותראי לי את השעה בבוגותה,datetime_query
 מה השעה עכשיו בבוגותה,datetime_query
 מה השעה עכשיו בטוקיו,datetime_query
 סירי תעשי לי רשימת קניות תרשמי שם שוקולד קולה וקפה,lists_createoradd
 תפעילי את הוויפיי,iot_wemo_on
 תפעילי את הפנס,iot_wemo_on
 את יכולה לבדוק לי מתי הרכבת הבאה לחיפה מבאר שבע,transport_query
 תבדקי לי באינטרנט מתי יוצאת הרכבת הבאה מבאר שבע לחיפה,transport_query
תתקשרי בבקשה לקורל יגוד,call_contact
תתקשרי בבקשה לסתיו ברק,call_contact
אני רוצה שתפעיל לי שעון מעורר להיום בערב בשעה שמונה וחצי,alarm_set
תשלחי לסתיו ברק אסאםאס מה שלומך,send_message
תשלחי הודעה דרך המסנגר לסתיו ברק מה שלומך,send_message
דרך אפליקציית הודעות תשלחי אסאםאס לסתיו ברק ותכתבי לה מה שלומך,send_message
תשלחי לסתיו ברק הודעה בוואטסאפ מה שלומך,send_message
אני רוצה מתכון לעוגת שוקולד,query
תחפשי בגוגל מתכון לעוגת שוקולד,query
תפתחי גוגל מאפס ותכווני אותי להרצל 45 באר שבע,transport_query
אני רוצה שתפתחי גוגל מאפס ותביאי לי מסלול רגלי להרצל 45 באר שבע,transport_query
תפתחי גוגל מאפס ותנווטי אותי לרחוב הרצל 45 באר שבע רגלית,transport_query
אני רוצה להגיע לרחוב הרצל 45 באר שבע ברגל,transport_query
תשתמשי באפליקציות מפות כדי לנווט להצל 45 באר שבע ברגל,transport_query
אני רוצה לנווט לרחוב הרצל 45 באר שבע,transport_query
אני רוצה לנווט ברגל לרחוב הרצל 45 באר שבע,transport_query
אני רוצה לנווט לרחוב הרצל 45 באר שבע ברגל,transport_query
תכניסי ליומן פגישה בחמישי לינואר בשעה חמש וחצי עם הרופא,calendar_set
אני רוצה שתשימי תזכורת לעוד שעתיים לקחת תרופה,alarm_set
אני רוצה שבעוד שעתיים תזכירי לי לקחת תרופה,alarm_set
אני רוצה שבעוד שעתיים תזכירי לי לקחת תרופה,alarm_set
תזכירי לי בעוד שעתיים לקחת תרופה,alarm_set
תנגני בספוטיפיי את השיר אורות של אברהם טל,play_music
אני רוצה לצלם תמונת סלפי,camera_query
מה שער הדולר,qa_currency
מה שער הדולר בשקלים,qa_currency
האם מחר יהיה גשום בבאר שבע,weather_query
תעזרי לי להמיר חמש פאונד לקילוגרמים,convert
מה השעה עכשיו באיראן,datetime_query
אני רוצה לכתוב פתק חדש ובו רשימה של עטים ומחברות,lists_createoradd
אני רוצה שתכתבי פתק  ובו רשימה שכתוב עטים מחברות,lists_createoradd
במקום המילה התאים תחליף לי לעטים,general
תדליקי בבקשה את הבלוטוס,iot_wemo_on
תדליקי בבקשה את הפנס,iot_wemo_on
מתי האוטובוס הקרוב ביותר מבאר שבע לתל אביב,transport_query
אני רוצה להגיע לתל אביב באוטובוס עכשיו,transport_query
אני רוצה להגיע עכשיו לתל אביב עם אוטובוס תביאי לי מסלול  מה המסלול להגיע לתל אביב עם אוטובוס,transport_query
סירי תביא לי את נעמה לדבר עם נעמה,call_contact
סירי תתקשרי לדביר,call_contact
סירי תכווני לי שעון מעורר לשש וחצי בבוקר,alarm_set
סירי תשלחי לדביר בוואטסאפ היי מה שלומך,send_message
סירי תבדקי לי מתי חל יום הפנקייק הבינלאומי,query
סירי תבדקי מתי חל יום הפנקייק הבינלאומי,query
סירי תפתחי לי במפות את הדרך להרצל 45 לבאר שבע ברגל,transport_query
סירי תפתחי לי במפות איך מגיעים ברגל להרצל 45 לבאר שבע,transport_query
סירי תקבע לי תור ביומן בחמישי למאי בחמש וחצי ותקרא לה תור לרופא,calendar_set
סירי תתריאי לי עוד שעתיים לקחת תרופה,alarm_set
סירי תשים לי מהיוטיוב את השיר אורות של אברהם טל,play_music
סירי תשים לי את השיר ביוטיוב אורות של אברהם טל,play_music
סירי תפתח לי את המצלמה שאני אוכל לצלם סלפי,camera_query
סירי תפתח לי את המצלמה הקדמית,camera_query
היי סירי אני רוצה לצלם סלפי,camera_query
סירי אני רוצה לצלם סלפי עם המצלמה הקדמית,camera_query
היי סירי אני רוצה לצלם סלפי,camera_query
סירי כמה שווה דולר אחד בשקלים,qa_currency
סירי האם אמור לרדת מחר גשם בתל אביב,weather_query
סירי כמה קילוגרמים הם חמש פאונד,convert
סירי מה השעה עכשיו בסאול,datetime_query
סירי תעשה לי רשימה של קניות של חלב ביצים ודגים,lists_createoradd
סירי תעשה לי בפתקים רשימת קניות של חלב ביצים ודגים,lists_createoradd
סירי תצרי רשימת קניות שיהיה בחלב  ביצים ודגים,lists_createoradd
היי סירי תיצרי לי רשימת קניות ששם יהיה ביצים חלב ודגים,lists_createoradd
היי סירי צרי לי רשימת קניות שיהיה בחלב ביצים ודגים,lists_createoradd
סירי תפעילי לי את הבלוטוס,iot_wemo_on
סירי תדליקי לי את הפנס,iot_wemo_on
סירי מתי האוטובוס הקרוב לתל אביב מכאן,transport_query
תתקשרי אותי לקורל,call_contact
אני רוצה להתקשר לקורל בבקשה ממך,call_contact
תכווני לי את השעון מעורר,alarm_set
תכווני לי בבקשה את השעון מעורר לשבע שבע בבוקר בסדר טוב תודה,alarm_set
תשלחי לקורל מה שלומי שלומי טוב אני מרגישה בסדר תודה,send_message
תגידי לי בבקשה מתי יום השואה,query
אני רוצה להגיע לאלי כהן 15 בניצן אם תוכלי להסביר לי ולהגיד לי איך,transport_query
אני רוצה להגיע לאלי כהן 15 בניצן ואני לא יודעת איך להגיע אז תגידי לי בבקשה איך,transport_query
אני רוצה להגיע לניצן 15 אלי כהן אולי תוכלי לעזור לי,transport_query
אני רוצה להגיע לאלי כהן 15 תוכלי לעזור לי,transport_query
אני רוצה להגיע לאלי כהן 15 אתה האם תוכלי לעזור לי,transport_query
אני רוצה להגיע לרופא בשעה חמש בתאריך חמישי לחמישי,transport_query
אני רוצה להגיע לרופא בחמישי לחמישי ולהיבדק אבל תחפשי לי את זה,query
אני רוצה תזכורת של חמישי לחמישי לתור לרופא,alarm_set
תוסיפי לתור בחמישי לחמישי שתזכירי לי,alarm_set
תוסיפי לתור בחמישי לחמישי שתזכירי לי אוקיי לתור לרופא,alarm_set
תזכירי לי בחמישי לחמישי לתור לרופא,alarm_set
אני רוצה לשמוע את החגיגה של שרית חדד,play_music
אני רוצה בבקשה לשמוע את השיר של שרית חדד  חגיגה,play_music
ביוטיוב אני רוצה לשמוע,play_music
אני רוצה לצלם תמונה,camera_query
אני רוצה לבדוק כמה עולה דולר בשקלים או יורו בשקלים,qa_currency
אני רוצה לדעת אם בתל אביב ירד גשם ועד שאני צריכה להגיע לשם אם כן אני לא נוסעת,transport_query
למה את לא עונה לי אני רוצה לדעת אם בתל אביב ירד גשם ועד שאני לא אסע,weather_query
אני רוצה לדעת כמה קילוגרמים חמש פאונד כמה קילוגרם חמש פאונד,convert
כמה קילוגרם זה חמש פאונד לחמש פאונד אוקיי כמה קילוגרם לחמש פאונד,convert
רציתי לדעת כמה חמש פעמים של קילוגרם לא נתת לי,convert
כמה קילוגרמים חמש פאונד,convert
איזה שעה בניו יורק ופה בישראל אני רוצה לדעת מה ההבדלים בין אחד לשני,datetime_query
מה השעה בניו יורק מה השעה בניו יורק מה השעה הכי בניו יורק,datetime_query
אני רוצה לרשום קניות חלב וביצים אם תוכלי לעזור לי,lists_createoradd
כי אני רוצה  להפעיל מצב טיסה,iot_wemo_on
אני רוצה להפעיל מצב טיסה בסדר,iot_wemo_on
אני רוצה להדליק את הפנס בטלפון,iot_wemo_on
