transcript_hebrew,intent
מה השעה עכשיו בלונדון?,datetime_query
איזה תאריך היום?,datetime_query
תוכלי להגיד לי מה היום בשבוע?,datetime_query
מה השעה המדויקת עכשיו בפריז?,datetime_query
תפרסמי בפייסבוק 'יום הולדת שמח!',social_post
תכתבי פוסט בטוויטר על מזג האוויר.,social_post
תעלי תמונה לאינסטגרם עם הכיתוב 'חופשה מושלמת'.,social_post
תעדכני סטטוס בוואטסאפ: 'מרגיש נהדר היום!',social_post
"תפעילי תחנת רדיו גלי צה""ל.",play_radio
תנגני רדיו של מוזיקה קלאסית.,play_radio
אני רוצה לשמוע את רדיו תל אביב.,play_radio
תדליקי תחנת רדיו רוק.,play_radio
תכווני שעון מעורר לשעה 6:30 בבוקר.,alarm_set
אני צריך תזכורת לשעה 8 בערב.,alarm_set
תעירי אותי בעוד שלוש שעות.,alarm_set
תכווני שעון לעוד חצי שעה.,alarm_set
תנגני את הספר הקולי 'הארי פוטר'.,play_audiobook
אני רוצה להאזין לספר הקולי 'שר הטבעות'.,play_audiobook
תתחילי לנגן את האודיו בוק האחרון.,play_audiobook
תפעילי ספר קולי של סופרת ישראלית.,play_audiobook
מה השעה של השעון המעורר שלי?,alarm_query
תוכלי לבדוק איזה שעונים מכוונים?,alarm_query
תראי לי את השעונים הפעילים שלי.,alarm_query
יש לי שעון מעורר לשעה שמונה?,alarm_query
תשלחי מייל לבוס שלי עם הכותרת 'עדכון שבועי'.,sendemail
תכתבי מייל לחברה שלי על הפגישה שלנו.,sendemail
אני צריך לשלוח אימייל לצוות עם פרטי המשימה.,sendemail
תשלחי אימייל עם התמונה המצורפת להורים שלי.,sendemail
תשלחי מייל לעמית שלי ותשאלי אם הכל מוכן לפגישה.,sendemail
אני צריך לשלוח מייל לספק ולשאול על ההזמנה.,sendemail
תכתבי אימייל לחבר עם התמונה מהחופשה.,sendemail
תשלחי מייל עם הכותרת 'פרטים חשובים' למנהל שלי.,sendemail
איזה שעונים מעוררים יש לי כרגע?,alarm_query
האם יש שעון מעורר לשעה תשע בבוקר?,alarm_query
תבדקי לי איזה שעון מעורר מופעל.,alarm_query
מה ההגדרות של השעון המעורר שלי?,alarm_query
תתחילי לשחק את הספר הקולי האחרון שלי.,play_audiobook
אני רוצה להאזין לספר 'משחקי הכס'.,play_audiobook
תפעילי את הספר הקולי שהפסקתי באמצע.,play_audiobook
תנגני לי ספר שמע חדש בז'אנר מדע בדיוני.,play_audiobook
תפעילי שיר קלאסי בספוטיפיי.,play_music
מה מזג האוויר בשבוע הבא בירושלים?,weather_query
תצרי לי תזכורת ליום הולדת של דני בשישי הבא.,alarm_set
תעדכני סטטוס בוואטסאפ: 'מתרגש לקראת החופשה!',social_post
תנגני תחנת רדיו רוק עם שירים משנות השמונים.,play_radio
תוסיפי לרשימת הקניות שלי בננות ותפוזים.,lists_createoradd
מה השעה במדריד עכשיו?,datetime_query
תכתבי מייל לחברה שלי ותבקשי ממנה לעדכן את המסמך.,sendemail
איך אני יכול להגיע למוזיאון תל אביב באוטובוס?,transport_query
כמה זה חמישה דולר בשקלים?,qa_currency
מי היה הנשיא הראשון של ארצות הברית?,qa_factoid
תוסיפי לי ביומן פגישה עם המנהל ביום שני ב-9 בבוקר.,calendar_set
תצלמי תמונת סלפי במצלמה הקדמית.,camera_query
תנגני את האודיו בוק של 'הרפתקאות אליס בארץ הפלאות'.,play_audiobook
מהי המדינה הגדולה ביותר באפריקה?,qa_factoid
תבדקי האם ירד גשם בחיפה היום בערב.,weather_query
תכתבי פוסט בפייסבוק: 'איזה יום מושלם!',social_post
תנגני את השיר האהוב עליי בספוטיפיי.,play_music
מה התחזית למזג האוויר בסוף השבוע באילת?,weather_query
"תוסיפי תזכורת לפגישה עם ד""ר כהן ביום חמישי.",alarm_set
תכתבי הודעה בטוויטר: 'מתכונן לסופשבוע רגוע'.,social_post
תדליקי רדיו ותנגני שירים רגועים.,play_radio
תוסיפי לרשימת הקניות אורז וקינואה.,lists_createoradd
מה השעה בסידני עכשיו?,datetime_query
